Depth sed [m],Sample label,Cibicidoides spp. δ18O [‰ PDB],Cibicidoides spp. δ13C [‰ PDB],CaCO3 [%],Lab
0.02,"177-1088B-1-1,2-4",3.81,0.55,90.64,University of Florida
0.07,"177-1088B-1-1,7-9",2.95,0.44,86.35,University of Florida
0.12,"177-1088B-1-1,12-14",3.54,0.53,89.8,University of Florida
0.17,"177-1088B-1-1,17-19",4.05,0.09,87.53,University of Florida
0.22,"177-1088B-1-1,22-24",3.65,0.52,89.34,University of Florida
0.27,"177-1088B-1-1,27-29",4.58,0.28,86.39,University of Florida
0.32,"177-1088B-1-1,32-34",4.46,0.28,77.75,University of Florida
0.37,"177-1088B-1-1,37-39",4.15,0.44,83.55,University of Florida
0.42,"177-1088B-1-1,42-44",3.9,0.38,81.51,University of Florida
0.47,"177-1088B-1-1,47-49",4.06,0.44,88.77,University of Florida
0.52,"177-1088B-1-1,52-54",3.96,0.54,83.97,University of Florida
0.57,"177-1088B-1-1,57-59",3.98,0.51,87.03,University of Florida
0.62,"177-1088B-1-1,62-64",3.91,0.33,85.68,University of Florida
0.67,"177-1088B-1-1,67-69",4.07,0.16,87.09,University of Florida
0.72,"177-1088B-1-1,72-74",3.94,0.72,86.07,University of Florida
0.77,"177-1088B-1-1,77-79",3.71,0.74,88.81,University of Florida
0.82,"177-1088B-1-1,82-84",3.69,0.57,86.76,University of Florida
0.87,"177-1088B-1-1,87-89",3.59,0.65,89.48,University of Florida
0.92,"177-1088B-1-1,92-94",3.71,0.42,90.44,University of Florida
0.97,"177-1088B-1-1,97-99",3.69,0.66,88.02,University of Florida
1.07,"177-1088B-1-1,107-109",3.39,0.6,88.01,University of Florida
1.12,"177-1088B-1-1,112-114",3.53,0.55,86.16,University of Florida
1.17,"177-1088B-1-1,117-119",3.15,0.49,86.08,University of Florida
1.22,"177-1088B-1-1,122-124",3.29,0.37,87.27,University of Florida
1.27,"177-1088B-1-1,127-129",3.58,0.67,84.4,University of Florida
1.32,"177-1088B-1-1,132-134",2.93,0.44,86.58,University of Florida
1.37,"177-1088B-1-1,137-139",3.69,0.11,87.38,University of Florida
1.5,"177-1088B-1-2,0-2",4.39,0,86.85,University of Florida
1.57,"177-1088B-1-2,7-9",4.45,0.05,85.79,University of Florida
1.67,"177-1088B-1-2,17-19",4.36,-0.08,85.01,University of Florida
1.72,"177-1088B-1-2,22-24",4.16,-0.1,84.98,University of Florida
1.77,"177-1088B-1-2,27-29",4.1,-0.06,85.28,University of Florida
1.82,"177-1088B-1-2,32-34",4,0.19,84.84,University of Florida
1.87,"177-1088B-1-2,37-39",4.22,0.18,86.96,University of Florida
1.92,"177-1088B-1-2,42-44",4.18,0.2,89.53,University of Florida
1.97,"177-1088B-1-2,47-49",4.14,-0.1,86.05,University of Florida
2.07,"177-1088B-1-2,57-59",4.19,-0.05,85.66,University of Florida
2.12,"177-1088B-1-2,62-64",3.29,0.38,87.61,University of Florida
2.17,"177-1088B-1-2,67-69",3.1,0.48,86.84,University of Florida
2.22,"177-1088B-1-2,72-74",4.14,0.21,90.52,University of Florida
2.27,"177-1088B-1-2,77-79",3.53,0.11,90.78,University of Florida
2.32,"177-1088B-1-2,82-84",4.18,0.26,86.54,University of Florida
2.37,"177-1088B-1-2,87-89",3.86,0.42,90.91,University of Florida
2.42,"177-1088B-1-2,92-94",4.04,0.16,89.88,University of Florida
2.47,"177-1088B-1-2,97-99",3.51,0.18,87.02,University of Florida
2.57,"177-1088B-1-2,107-109",4.28,0.09,85.6,University of Florida
2.62,"177-1088B-1-2,112-114",4.05,-0.02,85.24,University of Florida
2.67,"177-1088B-1-2,117-119",4.11,0,82.18,University of Florida
2.72,"177-1088B-1-2,122-124",3.96,0.22,87.23,University of Florida
2.77,"177-1088B-1-2,127-129",3.49,0.28,88.44,University of Florida
2.82,"177-1088B-1-2,132-134",3.79,0.41,85.47,University of Florida
2.87,"177-1088B-1-2,137-139",3.79,0.45,89.6,University of Florida
2.92,"177-1088B-1-2,142-144",3.53,0.27,88.23,University of Florida
3.02,"177-1088B-1-3,2-4",3.25,0.4,81.13,University of Florida
3.07,"177-1088B-1-3,7-9",3.29,0.38,89.47,University of Florida
3.13,"177-1088B-1-3,13-15",3.07,0.21,90.41,University of Florida
3.17,"177-1088B-1-3,17-19",3.14,-0.25,87.54,University of Florida
3.22,"177-1088B-1-3,22-24",3.08,0.21,89.65,University of Florida
3.27,"177-1088B-1-3,27-29",3.05,0.17,86.91,University of Florida
3.32,"177-1088B-1-3,32-34",3.81,0.15,89.68,University of Florida
3.37,"177-1088B-1-3,37-39",3.88,0.22,90.49,University of Florida
3.42,"177-1088B-1-3,42-44",3.79,-0.17,88.56,University of Florida
3.47,"177-1088B-1-3,47-49",3.16,-0.06,89.64,University of Florida
3.57,"177-1088B-1-3,57-59",3.83,-0.21,87.29,University of Florida
3.62,"177-1088B-1-3,62-64",3.97,0.13,89.42,University of Florida
3.67,"177-1088B-1-3,67-69",3.89,0.13,88.35,University of Florida
3.72,"177-1088B-1-3,72-74",3.77,0.58,89.34,University of Florida
3.77,"177-1088B-1-3,77-79",3.46,0.34,88.98,University of Florida
3.82,"177-1088B-1-3,82-84",3.55,0.7,83.2,University of Florida
3.87,"177-1088B-1-3,87-89",3.27,0.56,91.02,University of Florida
3.92,"177-1088B-1-3,92-94",3.39,0.61,89.98,University of Florida
3.97,"177-1088B-1-3,97-99",3.37,0.56,90.61,University of Florida
4.07,"177-1088B-1-3,107-109",2.9,0.72,82.26,University of Florida
4.12,"177-1088B-1-3,112-114",2.77,0.62,90.23,University of Florida
4.17,"177-1088B-1-3,117-119",2.81,0.55,89.89,University of Florida
4.22,"177-1088B-1-3,122-124",2.9,0.53,89.12,University of Florida
4.27,"177-1088B-1-3,127-129",3.13,0.48,91.28,University of Florida
4.32,"177-1088B-1-3,132-134",3.41,0.59,90.58,University of Florida
4.37,"177-1088B-1-3,137-139",3.34,0.35,91.38,University of Florida
4.42,"177-1088B-1-3,142-144",3.62,0.07,88.91,University of Florida
4.5,"177-1088B-1-4,0-2",3.88,0.21,88.36,University of Florida
4.57,"177-1088B-1-4,7-9",4.42,0.14,85.76,University of Florida
4.62,"177-1088B-1-4,12-14",4.74,0.21,86.64,University of Florida
4.67,"177-1088B-1-4,17-19",4.33,0.18,88.43,University of Florida
4.72,"177-1088B-1-4,22-24",4.07,0.3,88.9,University of Florida
4.77,"177-1088B-1-4,27-29",4.27,0.09,88.89,University of Florida
4.82,"177-1088B-1-4,32-34",3.43,1.04,89.19,University of Florida
4.87,"177-1088B-1-4,37-39",3.42,0.63,90.94,University of Florida
4.97,"177-1088B-1-4,47-49",3.6,0.51,88.93,University of Florida
5.02,"177-1088B-1-4,52-54",3.44,0.91,89.69,University of Florida
5.07,"177-1088B-1-4,57-59",,,88.27,University of Florida
5.12,"177-1088B-1-4,62-64",,,89.18,University of Florida
5.17,"177-1088B-1-4,67-69",3.43,1,87.34,University of Florida
5.22,"177-1088B-1-4,72-74",3.7,0.96,89.47,University of Florida
5.27,"177-1088B-1-4,77-79",4.31,0.31,,University of Florida
5.36,"177-1088B-1-cc,2-4",,,86.88,University of Florida
5.52,"177-1088B-2-1,2-4",,,90.6,University of Florida
5.57,"177-1088B-2-1,7-9",3.85,0.55,89.91,University of Florida
5.62,"177-1088B-2-1,12-14",3.72,0.42,87.35,University of Florida
5.67,"177-1088B-2-1,17-19",3.7,0.93,91.85,University of Florida
5.72,"177-1088B-2-1,22-24",3.44,1.1,91.27,University of Florida
5.77,"177-1088B-2-1,27-29",3.42,0.63,94.85,University of Florida
5.82,"177-1088B-2-1,32-34",3.19,0.93,91.75,University of Florida
5.87,"177-1088B-2-1,37-39",3.18,0.71,90.71,University of Florida
5.92,"177-1088B-2-1,42-44",3.77,0.59,91.55,University of Florida
5.97,"177-1088B-2-1,47-49",3.73,0.82,,University of Florida
6.02,"177-1088B-2-1,52-54",3.65,0.7,94.03,University of Florida
6.07,"177-1088B-2-1,57-59",3.83,0.93,91.99,University of Florida
6.12,"177-1088B-2-1,62-64",3.65,0.71,92.7,University of Florida
6.17,"177-1088B-2-1,67-69",3.66,0.85,93.12,University of Florida
6.22,"177-1088B-2-1,72-74",4.33,-0.07,92.69,University of Florida
6.27,"177-1088B-2-1,77-79",3.71,0.57,89.92,University of Florida
6.32,"177-1088B-2-1,82-84",4.01,0.25,91.56,University of Florida
6.37,"177-1088B-2-1,87-89",3.79,0.49,92.08,University of Florida
6.42,"177-1088B-2-1,92-94",,,91.96,University of Florida
6.47,"177-1088B-2-1,97-99",3.76,0.38,87.18,University of Florida
6.52,"177-1088B-2-1,102-104",4.14,0.18,87.68,University of Florida
6.57,"177-1088B-2-1,107-109",4.26,0.09,90.08,University of Florida
6.67,"177-1088B-2-1,117-119",4,0.25,89.49,University of Florida
6.72,"177-1088B-2-1,122-124",3.36,0.61,91.65,University of Florida
6.77,"177-1088B-2-1,127-129",3.61,0.66,85.83,University of Florida
6.82,"177-1088B-2-1,132-134",3.24,0.34,88.7,University of Florida
6.87,"177-1088B-2-1,137-139",3.81,0.58,90.8,University of Florida
6.92,"177-1088B-2-1,142-144",3.9,0.44,91.63,University of Florida
7.02,"177-1088B-2-2,2-4",3.74,0.37,86.54,University of Florida
7.07,"177-1088B-2-2,7-9",3.16,0.3,88.47,University of Florida
7.17,"177-1088B-2-2,17-19",3.72,0.61,92.03,University of Florida
7.22,"177-1088B-2-2,22-24",4.01,0.26,85.81,University of Florida
7.27,"177-1088B-2-2,27-29",4.34,-0.22,91.29,University of Florida
7.32,"177-1088B-2-2,32-34",4.12,-0.02,89.36,University of Florida
7.37,"177-1088B-2-2,37-39",3.95,0.17,90.36,University of Florida
7.42,"177-1088B-2-2,42-44",4.59,-0.1,89.95,University of Florida
7.47,"177-1088B-2-2,47-49",4.2,0.26,90.84,University of Florida
7.52,"177-1088B-2-2,52-54",3.94,0.36,91.05,University of Florida
7.57,"177-1088B-2-2,57-59",3.99,0.3,86.94,University of Florida
7.67,"177-1088B-2-2,67-69",4.42,-0.21,90.44,University of Florida
7.72,"177-1088B-2-2,72-74",4.26,-0.09,88.21,University of Florida
7.77,"177-1088B-2-2,77-79",4.41,-0.02,87.76,University of Florida
7.82,"177-1088B-2-2,82-84",4.08,0.03,87.72,University of Florida
7.87,"177-1088B-2-2,87-89",3.46,-1.13,89.25,University of Florida
7.92,"177-1088B-2-2,92-94",4.12,-0.03,83.06,University of Florida
7.97,"177-1088B-2-2,97-99",4.16,-0.27,86.74,University of Florida
8.07,"177-1088B-2-2,107-109",4.2,0.06,86.36,University of Florida
8.12,"177-1088B-2-2,112-114",3.96,0.19,88.19,University of Florida
8.17,"177-1088B-2-2,117-119",3.84,0.15,85.8,University of Florida
8.22,"177-1088B-2-2,122-124",3.82,0.2,85.92,University of Florida
8.27,"177-1088B-2-2,127-129",3.56,0.42,82.85,University of Florida
8.32,"177-1088B-2-2,132-134",3.39,0.69,87.75,University of Florida
8.36,"177-1088B-2-2,136-138",3.79,0.32,83.87,University of Florida
8.52,"177-1088B-2-3,2-4",3.67,0.56,88.08,University of Florida
8.57,"177-1088B-2-3,7-9",3.48,0.73,86.06,University of Florida
8.62,"177-1088B-2-3,12-14",3.77,0.38,88.68,University of Florida
8.67,"177-1088B-2-3,17-19",3.77,0.29,86.67,University of Florida
8.72,"177-1088B-2-3,22-24",4.35,-0.13,84.16,University of Florida
8.77,"177-1088B-2-3,27-29",4.02,0.36,85.77,University of Florida
8.82,"177-1088B-2-3,32-34",3.84,0.39,87.29,University of Florida
8.87,"177-1088B-2-3,37-39",3.9,0.29,87.5,University of Florida
8.97,"177-1088B-2-3,47-49",4.03,0.08,89.17,University of Florida
9.02,"177-1088B-2-3,52-54",4.01,-0.21,86.03,University of Florida
9.07,"177-1088B-2-3,57-59",4.2,-0.08,83.1,University of Florida
9.17,"177-1088B-2-3,67-69",4.11,-0.03,81.59,University of Florida
9.22,"177-1088B-2-3,72-74",3.44,0.62,86.16,University of Florida
9.27,"177-1088B-2-3,77-79",3.7,0.35,83.47,University of Florida
9.32,"177-1088B-2-3,82-84",3.65,0.32,85.86,University of Florida
9.37,"177-1088B-2-3,87-89",3.66,0.31,89.78,University of Florida
9.42,"177-1088B-2-3,92-94",4.16,-0.05,88.26,University of Florida
9.52,"177-1088B-2-3,102-104",,,89.57,University of Florida
9.57,"177-1088B-2-3,107-109",3.96,0.1,90.24,University of Florida
9.62,"177-1088B-2-3,112-114",3.74,0.24,89.64,University of Florida
9.67,"177-1088B-2-3,117-119",4.31,0.01,87.09,University of Florida
9.72,"177-1088B-2-3,122-124",4.25,-0.23,88.31,University of Florida
9.77,"177-1088B-2-3,127-129",4.2,-0.13,88.18,University of Florida
9.82,"177-1088B-2-3,132-134",4.33,-0.15,89.3,University of Florida
9.87,"177-1088B-2-3,137-139",4.17,-0.1,83.2,University of Florida
10.02,"177-1088B-2-4,2-4",3.98,0.11,87.53,University of Florida
10.07,"177-1088B-2-4,7-9",,,88.27,University of Florida
10.12,"177-1088B-2-4,12-14",3.52,0.43,86.78,University of Florida
10.17,"177-1088B-2-4,17-19",3.5,0.25,89.29,University of Florida
10.22,"177-1088B-2-4,22-24",3.57,0.28,89.18,University of Florida
10.27,"177-1088B-2-4,27-29",3.67,0.15,87.02,University of Florida
10.32,"177-1088B-2-4,32-34",3.53,0.26,85.7,University of Florida
10.37,"177-1088B-2-4,37-39",3.52,0.22,85,University of Florida
10.42,"177-1088B-2-4,42-44",3.51,0.06,86.04,University of Florida
10.47,"177-1088B-2-4,47-49",3.45,0.46,84.74,University of Florida
10.52,"177-1088B-2-4,52-54",3.29,0.46,89.1,University of Florida
10.57,"177-1088B-2-4,57-59",3.85,0.43,86.19,University of Florida
10.62,"177-1088B-2-4,62-64",3.6,0.16,89.97,University of Florida
10.67,"177-1088B-2-4,67-69",3.59,0.47,87.34,University of Florida
10.72,"177-1088B-2-4,72-74",4.1,0.01,87.6,University of Florida
10.77,"177-1088B-2-4,77-79",3.93,-0.37,88.18,University of Florida
10.82,"177-1088B-2-4,82-84",4.34,-0.25,87.19,University of Florida
10.87,"177-1088B-2-4,87-89",3.88,-0.02,91.33,University of Florida
10.92,"177-1088B-2-4,92-94",4.59,-0.15,85.61,University of Florida
10.97,"177-1088B-2-4,97-99",4.48,-0.38,86.63,University of Florida
11.02,"177-1088B-2-4,102-104",4.33,-0.33,83.86,University of Florida
11.07,"177-1088B-2-4,107-109",4.17,-0.42,84.12,University of Florida
11.12,"177-1088B-2-4,112-114",3.88,-0.17,88.92,University of Florida
11.17,"177-1088B-2-4,117-119",3.67,0.02,89.05,University of Florida
11.22,"177-1088B-2-4,122-124",3.67,0.16,87.51,University of Florida
11.27,"177-1088B-2-4,127-129",4.35,-0.35,86.83,University of Florida
11.32,"177-1088B-2-4,132-134",3.9,0.16,89.66,University of Florida
11.37,"177-1088B-2-4,137-139",,,87.34,University of Florida
11.42,"177-1088B-2-4,142-144",3.7,0.13,83.49,University of Florida
11.52,"177-1088B-2-5,2-4",4.06,-0.1,85.99,University of Florida
11.57,"177-1088B-2-5,7-9",4.25,-0.25,86.78,University of Florida
11.67,"177-1088B-2-5,17-19",4.26,-0.36,87.18,University of Florida
11.72,"177-1088B-2-5,22-24",3.38,0.07,87.17,University of Florida
11.77,"177-1088B-2-5,27-29",3.29,0.56,84.48,University of Florida
11.82,"177-1088B-2-5,32-34",3.4,0.48,87.55,University of Florida
11.87,"177-1088B-2-5,37-39",3.34,0.1,88.15,University of Florida
11.92,"177-1088B-2-5,42-44",3.12,0.58,88.17,University of Florida
11.97,"177-1088B-2-5,47-49",3.95,0.04,88.33,University of Florida
12.02,"177-1088B-2-5,52-54",3.52,0.4,82.07,University of Florida
12.07,"177-1088B-2-5,57-59",4.1,0.41,88.43,University of Florida
12.17,"177-1088B-2-5,67-69",3.63,0.35,88.02,University of Florida
12.22,"177-1088B-2-5,72-74",3.76,0.33,90.08,University of Florida
12.27,"177-1088B-2-5,77-79",,,88.71,University of Florida
12.32,"177-1088B-2-5,82-84",3.62,0.21,88.82,University of Florida
12.37,"177-1088B-2-5,87-89",3.64,0.56,88.91,University of Florida
12.42,"177-1088B-2-5,92-94",3.42,0.7,83.29,University of Florida
12.52,"177-1088B-2-5,102-104",2.98,0.5,85.62,University of Florida
12.57,"177-1088B-2-5,107-109",3.45,0.48,90.18,University of Florida
12.62,"177-1088B-2-5,112-114",,,84.73,University of Florida
12.67,"177-1088B-2-5,117-119",3.88,0.3,88.07,University of Florida
12.77,"177-1088B-2-5,127-129",3.73,0.24,84.21,University of Florida
12.82,"177-1088B-2-5,132-134",3.89,0.11,82.65,University of Florida
12.87,"177-1088B-2-5,137-139",3.64,0.71,89.45,University of Florida
12.92,"177-1088B-2-5,142-144",3.4,0.68,84.85,University of Florida
13.02,"177-1088B-2-6,2-4",3.27,0.72,89.82,University of Florida
13.07,"177-1088B-2-6,7-9",3.31,0.4,88.39,University of Florida
13.12,"177-1088B-2-6,12-14",3.55,0.46,85.62,University of Florida
13.17,"177-1088B-2-6,17-19",3.39,0.67,79.47,University of Florida
13.23,"177-1088B-2-6,23-24",4.03,-0.14,87.97,University of Florida
13.27,"177-1088B-2-6,27-29",3.75,0.22,85.65,University of Florida
13.32,"177-1088B-2-6,32-34",4.2,0.4,86.48,University of Florida
13.37,"177-1088B-2-6,37-39",4.13,0.08,87.26,University of Florida
13.42,"177-1088B-2-6,42-44",4.15,0.32,81.56,University of Florida
13.47,"177-1088B-2-6,47-49",4.06,0.04,83.97,University of Florida
13.57,"177-1088B-2-6,57-59",3.87,-0.12,81.14,University of Florida
13.62,"177-1088B-2-6,62-64",3.93,-0.18,81.42,University of Florida
13.67,"177-1088B-2-6,67-69",3.69,0.24,80,University of Florida
13.72,"177-1088B-2-6,72-74",3.37,0.55,82.89,University of Florida
13.77,"177-1088B-2-6,77-79",3.64,0.41,84.95,University of Florida
13.82,"177-1088B-2-6,82-84",3.56,0.69,87.86,University of Florida
13.92,"177-1088B-2-6,92-94",3.04,0.59,87.25,University of Florida
13.97,"177-1088B-2-6,97-99",,,90.67,University of Florida
14.02,"177-1088B-2-6,102-104",3.52,0.8,86.88,University of Florida
14.07,"177-1088B-2-6,107-109",3.03,0.62,90.04,University of Florida
14.12,"177-1088B-2-6,112-114",4,0.01,87.66,University of Florida
14.17,"177-1088B-2-6,117-119",3.83,0.56,84.44,University of Florida
14.22,"177-1088B-2-6,122-124",3.57,0.71,85.29,University of Florida
14.27,"177-1088B-2-6,127-129",3.79,0.26,85.94,University of Florida
14.32,"177-1088B-2-6,132-134",3.82,0.45,85.86,University of Florida
14.35,"177-1088B-2-cc,3-5",3.81,0.27,88.58,University of Florida
14.41,"177-1088B-2-cc,9-11",3.64,0.61,89.35,University of Florida
